varietal,state,region,vintage,vintage_rating
pinot noir,CA,anderson valley,2009,93
pinot noir,CA,anderson valley,2010,93
pinot noir,CA,anderson valley,2011,91
pinot noir,CA,anderson valley,2012,96
pinot noir,CA,anderson valley,2013,95
pinot noir,CA,anderson valley,2014,93
pinot noir,CA,anderson valley,2015,94
pinot noir,CA,anderson valley,2016,92
pinot noir,CA,anderson valley,2017,90
pinot noir,CA,anderson valley,2018,95
pinot noir,CA,anderson valley,2019,93
pinot noir,CA,anderson valley,2020,89
chardonnay,CA,santa barbara,1996,90
chardonnay,CA,santa barbara,1997,95
chardonnay,CA,santa barbara,1998,88
chardonnay,CA,santa barbara,1999,91
chardonnay,CA,santa barbara,2000,88
chardonnay,CA,santa barbara,2001,91
chardonnay,CA,santa barbara,2002,94
chardonnay,CA,santa barbara,2003,92
chardonnay,CA,santa barbara,2004,92
chardonnay,CA,santa barbara,2005,89
chardonnay,CA,santa barbara,2006,90
chardonnay,CA,santa barbara,2007,92
chardonnay,CA,santa barbara,2008,91
chardonnay,CA,santa barbara,2009,90
chardonnay,CA,santa barbara,2010,92
chardonnay,CA,santa barbara,2011,92
chardonnay,CA,santa barbara,2012,93
chardonnay,CA,santa barbara,2013,93
chardonnay,CA,santa barbara,2014,93
chardonnay,CA,santa barbara,2015,92
chardonnay,CA,santa barbara,2016,93
chardonnay,CA,santa barbara,2017,93
chardonnay,CA,santa barbara,2018,93
chardonnay,CA,santa barbara,2019,93
chardonnay,CA,santa barbara,2020,92
pinot noir,CA,santa barbara,1996,89
pinot noir,CA,santa barbara,1997,95
pinot noir,CA,santa barbara,1998,84
pinot noir,CA,santa barbara,1999,90
pinot noir,CA,santa barbara,2000,89
pinot noir,CA,santa barbara,2001,92
pinot noir,CA,santa barbara,2002,94
pinot noir,CA,santa barbara,2003,94
pinot noir,CA,santa barbara,2004,93
pinot noir,CA,santa barbara,2005,95
pinot noir,CA,santa barbara,2006,90
pinot noir,CA,santa barbara,2007,95
pinot noir,CA,santa barbara,2008,92
pinot noir,CA,santa barbara,2009,91
pinot noir,CA,santa barbara,2010,92
pinot noir,CA,santa barbara,2011,90
pinot noir,CA,santa barbara,2012,94
pinot noir,CA,santa barbara,2013,93
pinot noir,CA,santa barbara,2014,93
pinot noir,CA,santa barbara,2015,93
pinot noir,CA,santa barbara,2016,94
pinot noir,CA,santa barbara,2017,91
pinot noir,CA,santa barbara,2018,93
pinot noir,CA,santa barbara,2019,94
pinot noir,CA,santa barbara,2020,93
chardonnay,CA,central coast,1996,88
chardonnay,CA,central coast,1997,94
chardonnay,CA,central coast,1998,85
chardonnay,CA,central coast,1999,89
chardonnay,CA,central coast,2000,89
chardonnay,CA,central coast,2001,90
chardonnay,CA,central coast,2002,94
chardonnay,CA,central coast,2003,92
chardonnay,CA,central coast,2004,93
chardonnay,CA,central coast,2005,90
chardonnay,CA,central coast,2006,87
chardonnay,CA,central coast,2007,92
chardonnay,CA,central coast,2008,90
chardonnay,CA,central coast,2009,88
chardonnay,CA,central coast,2010,91
chardonnay,CA,central coast,2011,90
chardonnay,CA,central coast,2012,92
chardonnay,CA,central coast,2013,92
chardonnay,CA,central coast,2014,92
chardonnay,CA,central coast,2015,91
chardonnay,CA,central coast,2016,92
chardonnay,CA,central coast,2017,92
chardonnay,CA,central coast,2018,92
chardonnay,CA,central coast,2019,92
chardonnay,CA,central coast,2020,91
pinot noir,CA,central coast,1996,87
pinot noir,CA,central coast,1997,93
pinot noir,CA,central coast,1998,86
pinot noir,CA,central coast,1999,89
pinot noir,CA,central coast,2000,88
pinot noir,CA,central coast,2001,91
pinot noir,CA,central coast,2002,85
pinot noir,CA,central coast,2003,93
pinot noir,CA,central coast,2004,89
pinot noir,CA,central coast,2005,92
pinot noir,CA,central coast,2006,88
pinot noir,CA,central coast,2007,94
pinot noir,CA,central coast,2008,89
pinot noir,CA,central coast,2009,89
pinot noir,CA,central coast,2010,93
pinot noir,CA,central coast,2011,88
pinot noir,CA,central coast,2012,92
pinot noir,CA,central coast,2013,92
pinot noir,CA,central coast,2014,93
pinot noir,CA,central coast,2015,91
pinot noir,CA,central coast,2016,92
pinot noir,CA,central coast,2017,90
pinot noir,CA,central coast,2018,92
pinot noir,CA,central coast,2019,93
pinot noir,CA,central coast,2020,92
syrah,CA,central coast,1998,83
syrah,CA,central coast,1999,86
syrah,CA,central coast,2000,84
syrah,CA,central coast,2001,91
syrah,CA,central coast,2002,88
syrah,CA,central coast,2003,92
syrah,CA,central coast,2004,86
syrah,CA,central coast,2005,84
syrah,CA,central coast,2006,85
syrah,CA,central coast,2007,90
syrah,CA,central coast,2008,87
syrah,CA,central coast,2009,87
syrah,CA,central coast,2010,89
syrah,CA,central coast,2011,88
syrah,CA,central coast,2012,89
syrah,CA,central coast,2013,90
syrah,CA,central coast,2014,92
syrah,CA,central coast,2015,91
syrah,CA,central coast,2016,92
syrah,CA,central coast,2017,92
syrah,CA,central coast,2018,92
syrah,CA,central coast,2019,93
syrah,CA,central coast,2020,92
syrah,CA,north coast,1998,83
syrah,CA,north coast,1999,89
syrah,CA,north coast,2000,84
syrah,CA,north coast,2001,92
syrah,CA,north coast,2002,88
syrah,CA,north coast,2003,89
syrah,CA,north coast,2004,89
syrah,CA,north coast,2005,85
syrah,CA,north coast,2006,88
syrah,CA,north coast,2007,93
syrah,CA,north coast,2008,88
syrah,CA,north coast,2009,88
syrah,CA,north coast,2010,88
syrah,CA,north coast,2011,89
syrah,CA,north coast,2012,92
syrah,CA,north coast,2013,91
syrah,CA,north coast,2014,91
syrah,CA,north coast,2015,92
syrah,CA,north coast,2016,92
syrah,CA,north coast,2017,90
syrah,CA,north coast,2018,91
syrah,CA,north coast,2019,92
syrah,CA,north coast,2020,89
syrah,CA,south coast,1998,83
syrah,CA,south coast,1999,88
syrah,CA,south coast,2000,85
syrah,CA,south coast,2001,92
syrah,CA,south coast,2002,89
